questao_no_pdf;situacao;id_no_site;gabarito_pdf;gabarito_site;enunciado
223;no site (marcada TECOC);ombro-cotovelo-0436;C;C;Na imagem acima de ressonância magnética do ombro após contraste com gadolínio intravenoso, os achados apontados pelas setas são sugestivos de
224;no site (marcada TECOC);trauma-0976;A;A;No tratamento cirúrgico da fratura da cabeça do rádio, os acessos representados na figura acima como A, B e C são, respectivamente,
225;no site (marcada TECOC);trauma-0977;C;C;É etapa do acesso clássico de JUDET
226;no site (marcada TECOC);ombro-cotovelo-0437;C;C;Os nervos identificados de A a E na fotografia acima de um ombro direito, visto por anterior, são, respectivamente,
227;no site (marcada TECOC);trauma-0978;B;B;Na avaliação radiográfica das fraturas da cabeça do rádio, a incidência oblíqua interna demonstrada na imagem acima permite melhor visualização de lesões associadas à(ao)
228;no site (marcada TECOC);ombro-cotovelo-0438;B;B;O sinal da tangente descrito por ZANETTI é avaliado no nível correspondente à linha
229;no site (marcada TECOC);ombro-cotovelo-0439;D;D;Na artroscopia do cotovelo, o portal que fica no centro do triângulo acima é particularmente útil para
230;no site (marcada TECOC);ombro-cotovelo-0440;B;B;A figura acima representa a incidência radiográfica de
231;no site (marcada TECOC);ombro-cotovelo-0441;B;B;Conforme o mecanismo de luxação do cotovelo descrito por O'DRISCOLL, a imagem acima corresponde ao estágio
232;no site (marcada TECOC);trauma-0979;C;C;A sequela de fratura apresentada na imagem a seguir é classificada por BOILEAU como do tipo
233;no site (marcada TECOC);trauma-0980;A;A;Na técnica de banda de tensão representada na figura acima, as distâncias A e B devem medir, no máximo e no mínimo, respectivamente,
234;NÃO está no site; ;B;;Um valor de 40° do ângulo traçado na imagem acima tem forte associação com
235;NÃO está no site; ;B;;As imagens acima demonstram escápulas aladas secundárias ao acometimento de, respectivamente,
236;NÃO está no site; ;B;;A técnica de redução de luxação glenoumeral anterior ilustrada acima é a de
237;NÃO está no site; ;B;;Na ilustração acima, o nervo radial é identificado proximal ao ponto X, em média,
238;NÃO está no site; ;C;;O posicionamento demonstrado na imagem acima, para uma ressonância magnética do cotovelo, objetiva melhor visualização do
239;NÃO está no site; ;D;;"No tratamento da lesão SLAP, o portal demarcado pela letra ""C"" na figura acima é o de"
240;NÃO está no site; ;A;;A origem do complexo ligamentar medial do cotovelo é representada na figura acima pelo círculo da cor
241;NÃO está no site; ;A;;A cirurgia ilustrada na imagem acima é indicada para o tratamento de sequela de lesão do nervo
242;NÃO está no site; ;D;;Na figura acima, a relutância do paciente em estender o cotovelo para se levantar é indicativa de
243;NÃO está no site; ;C;;Na imagem acima, o local mais provável da compressão neurológica é
244;NÃO está no site; ;B;;A osteoartrite primária degenerativa de ombro evidenciada na imagem acima é classificada por WALCH como
245;no site (marcada TECOC);trauma-0981;A;A;O bloqueio distal das hastes diafisárias umerais longas anterógradas é mais seguro com a técnica
246;no site (marcada TECOC);mao-0565;B;B;Na imagem acima é sugestivo de síndrome do túnel radial e de compressão do nervo mediano por à palpação, respectivamente, das áreas
